Name,Position X,Position Y,Position Z
Point01,-1.77333,32.818474,1.768355
Point02,9.548317,-26.904351,-0.443064
Point03,-16.104757,-24.625797,1.461262
Point04,10.555283,-14.61625,0.142694
Point05,-15.910983,-12.913389,1.632709
Point06,-3.27996,-27.398559,0.40009
Point07,4.58909,23.31516,1.167421
Point08,7.222471,13.886415,0.452177
Point09,7.345619,4.493768,0.405696
Point10,8.619141,-4.915418,0.055811
Point11,9.237519,-21.128206,-0.242415
Point12,3.777265,-28.164247,0.440256
Point13,-11.249775,-29.959959,0.921928
Point14,-14.984522,-20.11235,1.265292
Point15,-14.281459,-4.478421,0.458251
Point16,-13.234028,4.887596,0.70537
Point17,-10.881333,14.241801,0.222306
Point18,-8.23054,23.567763,0.991949
Point19,-1.956375,23.393993,3.71955
Point20,-2.139021,13.985084,4.851434
Point21,-2.321113,4.6119,4.088205
Point22,-2.503262,-4.770694,3.82078
Point23,-2.67776,-13.764834,3.832243
Point24,-2.984114,-20.701941,2.927482
Point25,-2.977218,-20.543599,-1.505129
Point26,-2.677828,-13.764824,-2.201027
Point27,-2.500758,-4.644961,-2.829702
Point28,-2.318548,4.73835,-2.607343
Point29,-2.136496,14.114046,-1.976873
Point30,-1.95452,23.494609,-1.598189
Point31,4.22307,-14.208828,2.839585
Point32,-9.669234,-13.314985,4.027969
Point33,-9.803169,-13.306374,-1.513301
Point34,4.19191,-14.206828,-2.056853
