Name,Position X,Position Y,Position Z
Point01,-1.222935,36.508392,0.575862
Point02,10.645639,-34.515152,-0.993907
Point03,-11.129937,-35.070525,-1.212056
Point04,12.49898,-15.294641,0.222718
Point05,-12.960826,-16.498315,-0.762018
Point06,-0.200032,-32.155158,-1.267087
Point07,2.759158,26.133092,-0.54765
Point08,5.493084,15.725554,-1.128378
Point09,8.375805,5.30438,-0.697247
Point10,10.311144,-5.132098,-0.418572
Point11,11.597779,-24.114307,-0.167316
Point12,5.189494,-34.77333,-1.547579
Point13,-5.748142,-34.822681,-1.136892
Point14,-12.205307,-24.086169,-1.364708
Point15,-10.589725,-5.545561,0.682367
Point16,-10.040231,4.929158,0.971196
Point17,-6.80044,15.441713,2.05052
Point18,-5.038297,25.933713,2.665558
Point19,-1.024058,26.003906,3.026592
Point20,-0.825788,15.530418,3.574667
Point21,-0.627637,5.060426,3.865786
Point22,-0.429421,-5.408378,4.10762
Point23,-0.23092,-15.896472,1.853532
Point24,-0.215094,-24.214696,1.103012
Point25,-0.215567,-23.94382,-3.314303
Point26,-0.230965,-15.896507,-3.198169
Point27,-0.431965,-5.276786,-4.05624
Point28,-0.629772,5.173463,-3.143282
Point29,-0.827577,15.623035,-2.186336
Point30,-1.025301,26.068184,-0.959592
Point31,6.424365,-15.581837,2.263516
Point32,-6.767402,-16.205509,1.521072
Point33,-6.874235,-16.210553,-3.289048
Point34,6.394612,-15.583236,-2.448089
