Name,Position X,Position Y,Position Z
Point01,-3.473227,30.635496,1.56553
Point02,13.825037,-23.680632,4.136954
Point03,-17.5054,-24.249805,4.586964
Point04,12.331409,-11.381392,2.722255
Point05,-15.885073,-14.000292,5.100294
Point06,-1.829991,-22.585638,4.182586
Point07,2.316243,22.217812,2.728896
Point08,4.486056,13.618676,3.168488
Point09,5.78964,4.979559,3.490031
Point10,8.281178,-3.647141,3.18387
Point11,11.90464,-17.705363,3.551801
Point12,-16.348329,-17.532878,4.306645
Point13,-13.169848,-4.367554,4.113133
Point14,-12.594883,4.31364,4.489301
Point15,-12.556746,13.026358,4.553274
Point16,-11.083754,21.738535,3.572184
Point17,-3.141313,22.157497,5.56744
Point18,-2.803852,13.506688,6.364904
Point19,-2.46313,4.828117,6.651784
Point20,-2.12211,-3.870256,6.589598
Point21,-1.776781,-12.690991,6.346736
Point22,-1.802883,-17.573519,5.674406
Point23,-1.803561,-17.665146,2.332604
Point24,-1.776843,-12.690775,1.030363
Point25,-2.107564,-4.244169,-0.330434
Point26,-2.447242,4.431509,-0.674756
Point27,-2.788239,13.13089,-0.579154
Point28,-3.129719,21.862773,0.11438
Point29,5.720835,-11.99494,6.121651
Point30,-8.951229,-13.356723,6.673612
Point31,-9.522138,-13.409732,0.992468
Point32,5.452831,-12.019833,0.817239
