Name,Position X,Position Y,Position Z
Point01,-7.596021,31.45043,-0.99948
Point02,10.215961,-26.964261,-1.024475
Point03,-11.411881,-28.037165,-0.95412
Point04,10.139914,-10.647673,-0.968552
Point05,-13.267519,-13.142579,-0.448493
Point06,-0.598235,-23.336212,-1.019959
Point07,-2.815166,23.274195,-0.452083
Point08,0.082996,14.832469,-0.550549
Point09,2.55479,6.328404,-0.955868
Point10,6.501518,-1.971889,-1.630302
Point11,9.722788,-16.724654,-1.457956
Point12,-12.695884,-18.640199,-0.593978
Point13,-11.121393,-4.416569,-0.464374
Point14,-11.19696,4.424734,0.544185
Point15,-11.670845,13.20637,0.937657
Point16,-10.233898,22.245895,0.003236
Point17,-6.390688,22.789359,1.4241
Point18,-5.184613,14.120285,2.628128
Point19,-3.977731,5.447461,3.220371
Point20,-2.769372,-3.235783,2.307956
Point21,-1.563922,-11.895294,1.982305
Point22,-1.072984,-17.710869,1.301281
Point23,-1.084272,-17.576658,-3.659887
Point24,-1.563806,-11.895142,-3.920405
Point25,-2.763432,-3.275466,-3.744673
Point26,-3.971153,5.402896,-3.536647
Point27,-5.179917,14.08659,-2.503879
Point28,-6.387272,22.765125,-2.267667
Point29,4.950078,-11.200833,1.603481
Point30,-7.56645,-12.534922,0.8865
Point31,-7.757613,-12.555304,-3.440866
Point32,4.484042,-11.250513,-2.548965
